leading_object_id,event_id,event_time,primary_regime,regime_factors_json,regime_started_at,transition_window
IL-0004,INV-E-000030,2025-01-05T00:00:20Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-05T00:00:20Z,true
IL-0004,INV-E-000048,2025-02-05T00:00:03Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-05T00:00:20Z,false
IL-0005,INV-E-000005,2025-01-01T00:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
IL-0005,INV-E-000031,2025-01-02T00:03:20Z,Demand Surge Without Inbound,"[""Demand Surge Without Inbound""]",2025-01-02T00:03:20Z,true
IL-0005,INV-E-000032,2025-01-02T00:03:30Z,Demand Surge Without Inbound,"[""Demand Surge Without Inbound""]",2025-01-02T00:03:20Z,false
IL-0005,INV-E-000033,2025-01-04T00:03:30Z,Count Discrepancy,"[""Count Discrepancy""]",2025-01-04T00:03:30Z,true
IL-0005,INV-E-000049,2025-02-05T00:00:04Z,Count Discrepancy,"[""Count Discrepancy""]",2025-01-04T00:03:30Z,false
IL-0006,INV-E-000006,2025-01-01T00:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
IL-0006,INV-E-000034,2025-01-03T00:05:00Z,Count Discrepancy,"[""Count Discrepancy""]",2025-01-03T00:05:00Z,true
IL-0006,INV-E-000035,2025-01-03T00:05:10Z,Count Discrepancy,"[""Count Discrepancy""]",2025-01-03T00:05:00Z,false
IL-0006,INV-E-000050,2025-02-05T00:00:05Z,Count Discrepancy,"[""Count Discrepancy""]",2025-01-03T00:05:00Z,false
IL-0007,INV-E-000007,2025-01-01T00:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
IL-0007,INV-E-000038,2025-01-02T00:06:40Z,Forecast or Policy Bias,"[""Forecast or Policy Bias""]",2025-01-02T00:06:40Z,true
IL-0007,INV-E-000039,2025-01-02T00:06:50Z,Forecast or Policy Bias,"[""Forecast or Policy Bias""]",2025-01-02T00:06:40Z,false
IL-0007,INV-E-000040,2025-01-03T00:06:40Z,Forecast or Policy Bias,"[""Forecast or Policy Bias""]",2025-01-02T00:06:40Z,false
IL-0007,INV-E-000041,2025-01-05T00:06:40Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-05T00:06:40Z,true
IL-0007,INV-E-000042,2025-01-06T00:06:40Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-05T00:06:40Z,false
IL-0007,INV-E-000044,2025-01-08T00:06:40Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-08T00:06:40Z,true
IL-0007,INV-E-000051,2025-02-05T00:00:06Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-08T00:06:40Z,false
IL-0008,INV-E-000008,2025-01-01T00:00:00Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-01T00:00:00Z,false
IL-0008,INV-E-000036,2025-01-03T00:08:20Z,Data Gap,"[""Data Gap""]",2025-01-03T00:08:20Z,true
IL-0008,INV-E-000037,2025-01-04T00:08:20Z,Nominal Replenishment,"[""Nominal Replenishment""]",2025-01-04T00:08:20Z,true
IL-0008,INV-E-000043,2025-01-07T00:06:40Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-07T00:06:40Z,true
IL-0008,INV-E-000052,2025-02-05T00:00:07Z,Transfer Recovery,"[""Transfer Recovery""]",2025-01-07T00:06:40Z,false
