leading_object_id,event_id,event_time,bearing_wear,thermal_wear,calibration_drift,true_health_index,true_fault_family
M-002,MFG-E-000033,2025-01-03T08:01:40Z,0.009999999999999998,0.003999999999999999,0.003999999999999999,0.993,none
M-003,MFG-E-000034,2025-01-02T00:03:20Z,0.05,0.05,0.02,0.9545,bearing
M-003,MFG-E-000035,2025-01-02T12:03:20Z,0.05,0.05,0.02,0.9545,none
M-003,MFG-E-000036,2025-01-02T12:03:30Z,0.05,0.05,0.02,0.9545,none
M-003,MFG-E-000037,2025-01-03T00:03:20Z,0.05,0.05,0.02,0.9545,none
M-003,MFG-E-000038,2025-01-03T01:03:20Z,0.05,0.05,0.02,0.9545,none
M-003,MFG-E-000039,2025-01-03T02:03:20Z,0.05,0.05,0.02,0.9545,bearing
M-004,MFG-E-000040,2025-01-02T00:05:00Z,0.05,0.05,0.02,0.9545,bearing
M-004,MFG-E-000041,2025-01-02T00:05:10Z,0.05,0.05,0.02,0.9545,bearing
M-004,MFG-E-000042,2025-01-02T00:35:00Z,0.05,0.05,0.02,0.9545,bearing
M-005,MFG-E-000043,2025-01-02T00:06:40Z,0.05,0.05,0.02,0.9545,none
M-005,MFG-E-000044,2025-01-02T00:06:50Z,0.05,0.05,0.02,0.9545,none
M-005,MFG-E-000045,2025-01-02T00:06:55Z,0.05,0.05,0.02,0.9545,none
M-005,MFG-E-000046,2025-01-02T00:06:58Z,0.05,0.05,0.02,0.9545,none
M-005,MFG-E-000047,2025-01-02T00:07:00Z,0.05,0.05,0.02,0.9545,none
M-005,MFG-E-000048,2025-01-02T00:07:10Z,0.05,0.05,0.02,0.9545,none
M-006,MFG-E-000049,2025-01-02T00:08:20Z,0.05,0.05,0.02,0.9545,thermal
M-006,MFG-E-000050,2025-01-02T00:08:30Z,0.05,0.05,0.02,0.9545,thermal
M-006,MFG-E-000051,2025-01-02T00:08:40Z,0.05,0.05,0.02,0.9545,thermal
M-006,MFG-E-000052,2025-01-02T00:08:50Z,0.05,0.05,0.02,0.9545,thermal
M-006,MFG-E-000053,2025-01-02T00:09:00Z,0.05,0.05,0.0,0.9575,thermal
M-006,MFG-E-000054,2025-01-02T00:09:10Z,0.05,0.05,0.0,0.9575,thermal
M-007,MFG-E-000055,2025-01-02T00:10:00Z,0.05,0.05,0.02,0.9545,none
M-007,MFG-E-000056,2025-01-03T00:10:00Z,0.02,0.05,0.02,0.9695,none
M-008,MFG-E-000057,2025-01-02T00:11:40Z,0.05,0.05,0.02,0.9545,none
M-008,MFG-E-000058,2025-01-02T00:11:50Z,0.05,0.05,0.02,0.9545,none
M-008,MFG-E-000059,2025-01-03T00:11:40Z,0.05,0.05,0.02,0.9545,none
M-008,MFG-E-000060,2025-01-04T00:11:40Z,0.05,0.05,0.02,0.9545,none
M-001,MFG-E-000061,2025-01-31T00:00:00Z,0.02,0.05,0.02,0.9695,none
M-002,MFG-E-000062,2025-01-31T00:00:01Z,0.009999999999999998,0.003999999999999999,0.003999999999999999,0.993,none
M-003,MFG-E-000063,2025-01-31T00:00:02Z,0.05,0.05,0.02,0.9545,none
M-004,MFG-E-000064,2025-01-31T00:00:03Z,0.05,0.05,0.02,0.9545,none
M-005,MFG-E-000065,2025-01-31T00:00:04Z,0.05,0.05,0.02,0.9545,none
M-006,MFG-E-000066,2025-01-31T00:00:05Z,0.05,0.05,0.0,0.9575,none
M-007,MFG-E-000067,2025-01-31T00:00:06Z,0.02,0.05,0.02,0.9695,none
M-008,MFG-E-000068,2025-01-31T00:00:07Z,0.05,0.05,0.02,0.9545,none
