id,activity,timestamp,ot:Container,ot:Customer Order,ot:Forklift,ot:Handling Unit,ot:Transport Document,ot:Truck,ot:Vehicle
collect_hu22,Collect Goods,2023-05-29T05:36:19+00:00,,,,hu22#HU collected,,,
collect_hu20,Collect Goods,2023-05-29T05:37:54+00:00,,,,hu20#HU collected,,,
to_bay_cr3,Bring to Loading Bay,2023-05-29T05:42:27+00:00,cr3#CR brought to bay,,fl1#FL moved,,,,
to_bay_cr2,Bring to Loading Bay,2023-05-29T05:43:23+00:00,cr2#CR brought to bay,,fl3#FL moved,,,,
load_veh_cr3,Load to Vehicle,2023-05-29T05:44:21+00:00,cr3#CR loaded,,fl1#FL moved,,,,vh1#VH laded
collect_hu13,Collect Goods,2023-05-29T05:46:09+00:00,,,,hu13#HU collected,,,
collect_hu19,Collect Goods,2023-05-29T05:47:50+00:00,,,,hu19#HU collected,,,
load_veh_cr2,Load to Vehicle,2023-05-29T05:52:41+00:00,cr2#CR loaded,,fl3#FL moved,,,,vh1#VH laded
collect_hu18,Collect Goods,2023-05-29T05:53:54+00:00,,,,hu18#HU collected,,,
collect_hu23,Collect Goods,2023-05-29T05:55:55+00:00,,,,hu23#HU collected,,,
collect_hu24,Collect Goods,2023-05-29T05:57:29+00:00,,,,hu24#HU collected,,,
load_truck_hu15,Load Truck,2023-05-29T06:09:00+00:00,cr4#CR laded,,,hu15#HU loaded,,tr1#TR laded,
book_vehs_td6,Book Vehicles,2023-05-29T06:10:43+00:00,,,,,td6#VHs booked for TD,,vh2#booked VHs/vh4#booked VHs
load_truck_hu13,Load Truck,2023-05-29T06:15:42+00:00,cr4#CR laded,,,hu13#HU loaded,,tr1#TR laded,
load_truck_hu18,Load Truck,2023-05-29T06:17:32+00:00,cr4#CR laded,,,hu18#HU loaded,,tr1#TR laded,
load_truck_hu14,Load Truck,2023-05-29T06:21:51+00:00,cr4#CR laded,,,hu14#HU loaded,,tr1#TR laded,
collect_hu21,Collect Goods,2023-05-29T07:07:43+00:00,,,,hu21#HU collected,,,
collect_hu17,Collect Goods,2023-05-29T07:11:49+00:00,,,,hu17#HU collected,,,
collect_hu16,Collect Goods,2023-05-29T07:12:49+00:00,,,,hu16#HU collected,,,
load_truck_hu17,Load Truck,2023-05-29T07:12:49+00:00,cr4#CR laded,,,hu17#HU loaded,,tr1#TR laded,
load_truck_hu16,Load Truck,2023-05-29T07:17:03+00:00,cr4#CR laded,,,hu16#HU loaded,,tr1#TR laded,
load_truck_hu20,Load Truck,2023-05-29T07:28:07+00:00,cr7#CR laded,,,hu20#HU loaded,,tr5#TR laded,
load_truck_hu23,Load Truck,2023-05-29T07:28:42+00:00,cr7#CR laded,,,hu23#HU loaded,,tr5#TR laded,
load_truck_hu19,Load Truck,2023-05-29T07:29:35+00:00,cr7#CR laded,,,hu19#HU loaded,,tr5#TR laded,
load_truck_hu22,Load Truck,2023-05-29T07:30:49+00:00,cr7#CR laded,,,hu22#HU loaded,,tr5#TR laded,
order_crs_td4,Order Empty Containers,2023-05-29T07:32:25+00:00,cr12#CRs ordered/cr13#CRs ordered/cr14#CRs ordered/cr15#CRs ordered/cr16#CRs ordered,,,,td4#ordered for TD,,
pick_cr14,Pick Up Empty Container,2023-05-29T07:32:25+00:00,cr14#CR picked,,,,,,
pick_cr12,Pick Up Empty Container,2023-05-29T07:32:25+00:00,cr12#CR picked,,,,,,
pick_cr15,Pick Up Empty Container,2023-05-29T07:32:25+00:00,cr15#CR picked,,,,,,
pick_cr16,Pick Up Empty Container,2023-05-29T07:32:25+00:00,cr16#CR picked,,,,,,
collect_hu27,Collect Goods,2023-05-29T07:32:25+00:00,,,,hu27#HU collected,,,
collect_hu39,Collect Goods,2023-05-29T07:33:00+00:00,,,,hu39#HU collected,,,
load_truck_hu21,Load Truck,2023-05-29T07:34:38+00:00,cr7#CR laded,,,hu21#HU loaded,,tr5#TR laded,
load_truck_hu24,Load Truck,2023-05-29T07:36:06+00:00,cr7#CR laded,,,hu24#HU loaded,,tr5#TR laded,
collect_hu33,Collect Goods,2023-05-29T07:37:23+00:00,,,,hu33#HU collected,,,
collect_hu31,Collect Goods,2023-05-29T07:43:40+00:00,,,,hu31#HU collected,,,
collect_hu42,Collect Goods,2023-05-29T07:45:29+00:00,,,,hu42#HU collected,,,
drive_term_cr7,Drive to Terminal,2023-05-29T07:50:18+00:00,cr7#CR moved,,,,,tr5#TR moved,
weigh_cr7,Weigh,2023-05-29T07:51:20+00:00,cr7#CR weighted,,fl3#FL weighing,,,,
stock_cr7,Place in Stock,2023-05-29T07:52:14+00:00,cr7#CR stored,,fl3#FL moved,,,,
collect_hu44,Collect Goods,2023-05-29T07:52:32+00:00,,,,hu44#HU collected,,,
load_truck_hu31,Load Truck,2023-05-29T07:54:16+00:00,cr12#CR laded,,,hu31#HU loaded,,tr4#TR laded,
load_truck_hu42,Load Truck,2023-05-29T07:54:29+00:00,cr15#CR laded,,,hu42#HU loaded,,tr2#TR laded,
load_truck_hu39,Load Truck,2023-05-29T07:54:31+00:00,cr16#CR laded,,,hu39#HU loaded,,tr3#TR laded,
collect_hu37,Collect Goods,2023-05-29T07:54:32+00:00,,,,hu37#HU collected,,,
load_truck_hu27,Load Truck,2023-05-29T07:54:45+00:00,cr14#CR laded,,,hu27#HU loaded,,tr6#TR laded,
load_truck_hu33,Load Truck,2023-05-29T07:55:59+00:00,cr12#CR laded,,,hu33#HU loaded,,tr4#TR laded,
load_truck_hu44,Load Truck,2023-05-29T07:58:16+00:00,cr15#CR laded,,,hu44#HU loaded,,tr2#TR laded,
order_crs_td5,Order Empty Containers,2023-05-29T08:17:08+00:00,cr17#CRs ordered/cr18#CRs ordered/cr19#CRs ordered/cr20#CRs ordered,,,,td5#ordered for TD,,
drive_term_cr4,Drive to Terminal,2023-05-29T08:21:59+00:00,cr4#CR moved,,,,,tr1#TR moved,
weigh_cr4,Weigh,2023-05-29T08:22:47+00:00,cr4#CR weighted,,fl1#FL weighing,,,,
order_crs_td3,Order Empty Containers,2023-05-29T08:22:58+00:00,cr10#CRs ordered/cr11#CRs ordered/cr9#CRs ordered,,,,td3#ordered for TD,,
pick_cr11,Pick Up Empty Container,2023-05-29T08:22:58+00:00,cr11#CR picked,,,,,,
pick_cr10,Pick Up Empty Container,2023-05-29T08:22:58+00:00,cr10#CR picked,,,,,,
stock_cr4,Place in Stock,2023-05-29T08:25:52+00:00,cr4#CR stored,,fl1#FL moved,,,,
order_crs_td6,Order Empty Containers,2023-05-29T08:53:04+00:00,cr21#CRs ordered/cr22#CRs ordered/cr23#CRs ordered/cr24#CRs ordered,,,,td6#ordered for TD,,
collect_hu35,Collect Goods,2023-05-29T08:57:15+00:00,,,,hu35#HU collected,,,
load_truck_hu37,Load Truck,2023-05-29T08:57:15+00:00,cr16#CR laded,,,hu37#HU loaded,,tr3#TR laded,
collect_hu29,Collect Goods,2023-05-29T08:58:41+00:00,,,,hu29#HU collected,,,
load_truck_hu35,Load Truck,2023-05-29T08:58:41+00:00,cr12#CR laded,,,hu35#HU loaded,,tr4#TR laded,
reg_co10,Register Customer Order,2023-05-29T09:50:58+00:00,,co10#registered CO,,,,,
collect_hu45,Collect Goods,2023-05-29T10:04:39+00:00,,,,hu45#HU collected,,,
load_truck_hu29,Load Truck,2023-05-29T10:04:39+00:00,cr14#CR laded,,,hu29#HU loaded,,tr6#TR laded,
collect_hu36,Collect Goods,2023-05-29T11:10:42+00:00,,,,hu36#HU collected,,,
load_truck_hu45,Load Truck,2023-05-29T11:10:42+00:00,cr15#CR laded,,,hu45#HU loaded,,tr2#TR laded,
collect_hu55,Collect Goods,2023-05-29T11:15:15+00:00,,,,hu55#HU collected,,,
load_truck_hu36,Load Truck,2023-05-29T11:15:15+00:00,cr12#CR laded,,,hu36#HU loaded,,tr4#TR laded,
collect_hu41,Collect Goods,2023-05-29T11:18:51+00:00,,,,hu41#HU collected,,,
load_truck_hu55,Load Truck,2023-05-29T11:18:51+00:00,cr10#CR laded,,,hu55#HU loaded,,tr5#TR laded,
collect_hu26,Collect Goods,2023-05-29T11:26:08+00:00,,,,hu26#HU collected,,,
load_truck_hu41,Load Truck,2023-05-29T11:26:08+00:00,cr15#CR laded,,,hu41#HU loaded,,tr2#TR laded,
collect_hu38,Collect Goods,2023-05-29T11:37:04+00:00,,,,hu38#HU collected,,,
load_truck_hu26,Load Truck,2023-05-29T11:37:04+00:00,cr14#CR laded,,,hu26#HU loaded,,tr6#TR laded,
collect_hu48,Collect Goods,2023-05-29T11:40:07+00:00,,,,hu48#HU collected,,,
load_truck_hu38,Load Truck,2023-05-29T11:40:07+00:00,cr16#CR laded,,,hu38#HU loaded,,tr3#TR laded,
collect_hu53,Collect Goods,2023-05-29T11:41:29+00:00,,,,hu53#HU collected,,,
load_truck_hu48,Load Truck,2023-05-29T11:41:29+00:00,cr11#CR laded,,,hu48#HU loaded,,tr1#TR laded,
collect_hu28,Collect Goods,2023-05-29T11:46:12+00:00,,,,hu28#HU collected,,,
load_truck_hu53,Load Truck,2023-05-29T11:46:12+00:00,cr10#CR laded,,,hu53#HU loaded,,tr5#TR laded,
collect_hu54,Collect Goods,2023-05-29T11:48:06+00:00,,,,hu54#HU collected,,,
load_truck_hu28,Load Truck,2023-05-29T11:48:06+00:00,cr14#CR laded,,,hu28#HU loaded,,tr6#TR laded,
collect_hu25,Collect Goods,2023-05-29T11:49:52+00:00,,,,hu25#HU collected,,,
load_truck_hu54,Load Truck,2023-05-29T11:49:52+00:00,cr10#CR laded,,,hu54#HU loaded,,tr5#TR laded,
create_td7,Create Transport Document,2023-05-29T11:53:07+00:00,,co3#TD created for CO,,,td7#created TD,,
collect_hu51,Collect Goods,2023-05-29T11:55:51+00:00,,,,hu51#HU collected,,,
load_truck_hu25,Load Truck,2023-05-29T11:55:51+00:00,cr14#CR laded,,,hu25#HU loaded,,tr6#TR laded,
collect_hu49,Collect Goods,2023-05-29T13:01:23+00:00,,,,hu49#HU collected,,,
load_truck_hu51,Load Truck,2023-05-29T13:01:23+00:00,cr10#CR laded,,,hu51#HU loaded,,tr5#TR laded,
collect_hu32,Collect Goods,2023-05-29T13:02:32+00:00,,,,hu32#HU collected,,,
load_truck_hu49,Load Truck,2023-05-29T13:02:32+00:00,cr11#CR laded,,,hu49#HU loaded,,tr1#TR laded,
collect_hu47,Collect Goods,2023-05-29T13:03:08+00:00,,,,hu47#HU collected,,,
load_truck_hu32,Load Truck,2023-05-29T13:03:08+00:00,cr12#CR laded,,,hu32#HU loaded,,tr4#TR laded,
collect_hu40,Collect Goods,2023-05-29T13:06:32+00:00,,,,hu40#HU collected,,,
load_truck_hu47,Load Truck,2023-05-29T13:06:32+00:00,cr11#CR laded,,,hu47#HU loaded,,tr1#TR laded,
collect_hu46,Collect Goods,2023-05-29T13:10:12+00:00,,,,hu46#HU collected,,,
load_truck_hu40,Load Truck,2023-05-29T13:10:12+00:00,cr16#CR laded,,,hu40#HU loaded,,tr3#TR laded,
collect_hu52,Collect Goods,2023-05-29T13:11:53+00:00,,,,hu52#HU collected,,,
load_truck_hu46,Load Truck,2023-05-29T13:11:53+00:00,cr15#CR laded,,,hu46#HU loaded,,tr2#TR laded,
collect_hu34,Collect Goods,2023-05-29T13:14:08+00:00,,,,hu34#HU collected,,,
load_truck_hu52,Load Truck,2023-05-29T13:14:08+00:00,cr10#CR laded,,,hu52#HU loaded,,tr5#TR laded,
collect_hu50,Collect Goods,2023-05-29T13:20:15+00:00,,,,hu50#HU collected,,,
load_truck_hu34,Load Truck,2023-05-29T13:20:15+00:00,cr12#CR laded,,,hu34#HU loaded,,tr4#TR laded,
collect_hu30,Collect Goods,2023-05-29T13:26:12+00:00,,,,hu30#HU collected,,,
load_truck_hu50,Load Truck,2023-05-29T13:26:12+00:00,cr10#CR laded,,,hu50#HU loaded,,tr5#TR laded,
collect_hu43,Collect Goods,2023-05-29T13:30:19+00:00,,,,hu43#HU collected,,,
load_truck_hu30,Load Truck,2023-05-29T13:30:19+00:00,cr14#CR laded,,,hu30#HU loaded,,tr6#TR laded,
load_truck_hu43,Load Truck,2023-05-29T13:32:49+00:00,cr15#CR laded,,,hu43#HU loaded,,tr2#TR laded,
pick_cr5,Pick Up Empty Container,2023-05-29T13:43:58+00:00,cr5#CR picked,,,,,,
collect_hu56,Collect Goods,2023-05-29T13:43:58+00:00,,,,hu56#HU collected,,,
drive_term_cr14,Drive to Terminal,2023-05-29T13:43:58+00:00,cr14#CR moved,,,,,tr6#TR moved,
collect_hu57,Collect Goods,2023-05-29T13:45:13+00:00,,,,hu57#HU collected,,,
drive_term_cr15,Drive to Terminal,2023-05-29T13:45:21+00:00,cr15#CR moved,,,,,tr2#TR moved,
weigh_cr14,Weigh,2023-05-29T13:46:58+00:00,cr14#CR weighted,,fl1#FL weighing,,,,
stock_cr14,Place in Stock,2023-05-29T13:49:51+00:00,cr14#CR stored,,fl1#FL moved,,,,
weigh_cr15,Weigh,2023-05-29T13:49:54+00:00,cr15#CR weighted,,fl2#FL weighing,,,,
stock_cr15,Place in Stock,2023-05-29T13:51:24+00:00,cr15#CR stored,,fl2#FL moved,,,,
drive_term_cr11,Drive to Terminal,2023-05-29T13:55:04+00:00,cr11#CR moved,,,,,tr1#TR moved,
drive_term_cr16,Drive to Terminal,2023-05-29T13:55:04+00:00,cr16#CR moved,,,,,tr3#TR moved,
pick_cr24,Pick Up Empty Container,2023-05-29T13:55:56+00:00,cr24#CR picked,,,,,,
collect_hu58,Collect Goods,2023-05-29T13:55:56+00:00,,,,hu58#HU collected,,,
weigh_cr11,Weigh,2023-05-29T13:56:13+00:00,cr11#CR weighted,,fl3#FL weighing,,,,
stock_cr11,Place in Stock,2023-05-29T13:58:49+00:00,cr11#CR stored,,fl3#FL moved,,,,
weigh_cr16,Weigh,2023-05-29T13:59:44+00:00,cr16#CR weighted,,fl2#FL weighing,,,,
create_td8,Create Transport Document,2023-05-29T14:01:39+00:00,,co9#TD created for CO,,,td8#created TD,,
create_td9,Create Transport Document,2023-05-29T14:18:08+00:00,,co4#TD created for CO,,,td9#created TD,,
book_vehs_td7,Book Vehicles,2023-05-29T14:23:43+00:00,,,,,td7#VHs booked for TD,,vh6#booked VHs
book_vehs_td9,Book Vehicles,2023-05-29T14:27:06+00:00,,,,,td9#VHs booked for TD,,vh2#booked VHs/vh3#booked VHs
drive_term_cr12,Drive to Terminal,2023-05-29T14:30:46+00:00,cr12#CR moved,,,,,tr4#TR moved,
weigh_cr12,Weigh,2023-05-29T14:35:33+00:00,cr12#CR weighted,,fl1#FL weighing,,,,
stock_cr12,Place in Stock,2023-05-29T14:39:34+00:00,cr12#CR stored,,fl1#FL moved,,,,
drive_term_cr10,Drive to Terminal,2023-05-29T14:47:41+00:00,cr10#CR moved,,,,,tr5#TR moved,
weigh_cr10,Weigh,2023-05-29T14:48:36+00:00,cr10#CR weighted,,fl3#FL weighing,,,,
stock_cr10,Place in Stock,2023-05-29T14:51:50+00:00,cr10#CR stored,,fl3#FL moved,,,,
load_truck_hu57,Load Truck,2023-05-29T14:52:21+00:00,cr5#CR laded,,,hu57#HU loaded,,tr6#TR laded,
load_truck_hu56,Load Truck,2023-05-29T14:54:58+00:00,cr5#CR laded,,,hu56#HU loaded,,tr6#TR laded,
to_bay_cr16,Bring to Loading Bay,2023-05-29T15:03:30+00:00,cr16#CR brought to bay,,fl2#FL moved,,,,
load_veh_cr16,Load to Vehicle,2023-05-29T15:05:37+00:00,cr16#CR loaded,,fl2#FL moved,,,,vh1#VH laded
load_truck_hu58,Load Truck,2023-05-29T15:18:50+00:00,cr24#CR laded,,,hu58#HU loaded,,tr3#TR laded,
reg_co11,Register Customer Order,2023-05-29T16:06:38+00:00,,co11#registered CO,,,,,
drive_term_cr5,Drive to Terminal,2023-05-29T16:31:59+00:00,cr5#CR moved,,,,,tr6#TR moved,
weigh_cr5,Weigh,2023-05-29T16:42:04+00:00,cr5#CR weighted,,fl2#FL weighing,,,,
drive_term_cr24,Drive to Terminal,2023-05-29T16:59:24+00:00,cr24#CR moved,,,,,tr3#TR moved,
pick_cr1,Pick Up Empty Container,2023-05-29T17:21:01+00:00,cr1#CR picked,,,,,,
collect_hu60,Collect Goods,2023-05-29T17:21:01+00:00,,,,hu60#HU collected,,,
collect_hu63,Collect Goods,2023-05-30T05:28:07+00:00,,,,hu63#HU collected,,,
collect_hu64,Collect Goods,2023-05-30T05:30:06+00:00,,,,hu64#HU collected,,,
collect_hu61,Collect Goods,2023-05-30T05:38:53+00:00,,,,hu61#HU collected,,,
stock_cr5,Place in Stock,2023-05-30T05:42:26+00:00,cr5#CR stored,,fl2#FL moved,,,,
book_vehs_td8,Book Vehicles,2023-05-30T05:46:23+00:00,,,,,td8#VHs booked for TD,,vh8#booked VHs
collect_hu62,Collect Goods,2023-05-30T05:49:33+00:00,,,,hu62#HU collected,,,
load_truck_hu63,Load Truck,2023-05-30T06:00:42+00:00,cr1#CR laded,,,hu63#HU loaded,,tr2#TR laded,
weigh_cr24,Weigh,2023-05-30T06:01:40+00:00,cr24#CR weighted,,fl3#FL weighing,,,,
load_truck_hu64,Load Truck,2023-05-30T06:01:58+00:00,cr1#CR laded,,,hu64#HU loaded,,tr2#TR laded,
load_truck_hu61,Load Truck,2023-05-30T06:03:08+00:00,cr1#CR laded,,,hu61#HU loaded,,tr2#TR laded,
load_truck_hu60,Load Truck,2023-05-30T06:06:34+00:00,cr1#CR laded,,,hu60#HU loaded,,tr2#TR laded,
pick_cr21,Pick Up Empty Container,2023-05-30T06:08:03+00:00,cr21#CR picked,,,,,,
stock_cr24,Place in Stock,2023-05-30T06:08:04+00:00,cr24#CR stored,,fl3#FL moved,,,,
collect_hu59,Collect Goods,2023-05-30T06:51:24+00:00,,,,hu59#HU collected,,,
load_truck_hu62,Load Truck,2023-05-30T06:51:24+00:00,cr1#CR laded,,,hu62#HU loaded,,tr2#TR laded,
collect_hu66,Collect Goods,2023-05-30T06:54:17+00:00,,,,hu66#HU collected,,,
load_truck_hu59,Load Truck,2023-05-30T06:54:17+00:00,cr1#CR laded,,,hu59#HU loaded,,tr2#TR laded,
order_crs_td7,Order Empty Containers,2023-05-30T07:53:03+00:00,cr25#CRs ordered/cr26#CRs ordered/cr27#CRs ordered,,,,td7#ordered for TD,,
collect_hu70,Collect Goods,2023-05-30T07:56:53+00:00,,,,hu70#HU collected,,,
load_truck_hu66,Load Truck,2023-05-30T07:56:53+00:00,cr21#CR laded,,,hu66#HU loaded,,tr4#TR laded,
order_crs_td9,Order Empty Containers,2023-05-30T07:58:06+00:00,cr31#CRs ordered/cr32#CRs ordered/cr33#CRs ordered/cr34#CRs ordered,,,,td9#ordered for TD,,
pick_cr33,Pick Up Empty Container,2023-05-30T07:58:06+00:00,cr33#CR picked,,,,,,
create_td10,Create Transport Document,2023-05-30T08:39:18+00:00,,co10#TD created for CO,,,td10#created TD,,
drive_term_cr1,Drive to Terminal,2023-05-30T08:58:48+00:00,cr1#CR moved,,,,,tr2#TR moved,
weigh_cr1,Weigh,2023-05-30T08:59:37+00:00,cr1#CR weighted,,fl2#FL weighing,,,,
depart_vh1,Depart,2023-05-30T09:00:00+00:00,cr16#CR departed/cr2#CR departed/cr3#CR departed,,,,td1#TD with CR departure/td4#TD with CR departure,,vh1#VH departed
collect_hu65,Collect Goods,2023-05-30T09:01:36+00:00,,,,hu65#HU collected,,,
load_truck_hu70,Load Truck,2023-05-30T09:01:36+00:00,cr21#CR laded,,,hu70#HU loaded,,tr4#TR laded,
collect_hu67,Collect Goods,2023-05-30T09:03:09+00:00,,,,hu67#HU collected,,,
collect_hu75,Collect Goods,2023-05-30T09:03:46+00:00,,,,hu75#HU collected,,,
load_truck_hu65,Load Truck,2023-05-30T09:05:32+00:00,cr21#CR laded,,,hu65#HU loaded,,tr4#TR laded,
load_truck_hu67,Load Truck,2023-05-30T09:09:00+00:00,cr21#CR laded,,,hu67#HU loaded,,tr4#TR laded,
collect_hu68,Collect Goods,2023-05-30T09:10:45+00:00,,,,hu68#HU collected,,,
collect_hu73,Collect Goods,2023-05-30T09:12:58+00:00,,,,hu73#HU collected,,,
load_truck_hu68,Load Truck,2023-05-30T09:12:58+00:00,cr21#CR laded,,,hu68#HU loaded,,tr4#TR laded,
collect_hu74,Collect Goods,2023-05-30T09:15:00+00:00,,,,hu74#HU collected,,,
load_truck_hu75,Load Truck,2023-05-30T09:15:57+00:00,cr33#CR laded,,,hu75#HU loaded,,tr5#TR laded,
load_truck_hu73,Load Truck,2023-05-30T09:19:11+00:00,cr33#CR laded,,,hu73#HU loaded,,tr5#TR laded,
collect_hu76,Collect Goods,2023-05-30T09:21:46+00:00,,,,hu76#HU collected,,,
load_truck_hu74,Load Truck,2023-05-30T09:21:46+00:00,cr33#CR laded,,,hu74#HU loaded,,tr5#TR laded,
collect_hu69,Collect Goods,2023-05-30T09:22:25+00:00,,,,hu69#HU collected,,,
load_truck_hu76,Load Truck,2023-05-30T09:25:32+00:00,cr33#CR laded,,,hu76#HU loaded,,tr5#TR laded,
collect_hu71,Collect Goods,2023-05-30T09:27:48+00:00,,,,hu71#HU collected,,,
load_truck_hu69,Load Truck,2023-05-30T09:27:48+00:00,cr21#CR laded,,,hu69#HU loaded,,tr4#TR laded,
