id,activity,timestamp,ot:CUSTOMER,ot:MAT,ot:MAT_PLA,ot:PLA,ot:PO_ITEM,ot:SO_ITEM,ot:SUPPLIER,Stock Before,Stock After
e806,Create Purchase Order Item,2023-10-09T00:00:00+00:00,,MAT-62#None,MAT-62_Plant2#None,Plant2#None,PO_ITEM--99-3#None,,SUPPLIER--4#None,0.0,0.0
e943,Create Sales Order Item,2023-10-09T00:00:00+00:00,CUSTOMER--9#None,MAT-71#None,MAT-71_Plant3#None,Plant3#None,,SO_ITEM--3-1#None,,0.0,0.0
e1146,Create Purchase Order Item,2023-10-09T00:00:00+00:00,,MAT-87#None,MAT-87_Plant5#None,Plant5#None,PO_ITEM--99-4#None,,SUPPLIER--4#None,0.0,0.0
e724,Create Purchase Suggestion Item,2023-10-10T00:00:00+00:00,,MAT-55#None,MAT-55_Plant2#None,Plant2#None,,,,0.0,0.0
e1147,Create Purchase Suggestion Item,2023-10-11T00:00:00+00:00,,MAT-87#None,MAT-87_Plant3#None,Plant3#None,,,,0.0,0.0
e197,Create Sales Order Item,2023-10-12T00:00:00+00:00,CUSTOMER--10#None,MAT-16#None,MAT-16_Plant1#None,Plant1#None,,SO_ITEM--96-2#None,,0.0,0.0
e1013,Goods Issue,2023-10-12T00:00:00+00:00,CUSTOMER--942282#None,MAT-76#None,MAT-76_Plant5#None,Plant5#None,,,,96.0,0.0
e1061,Create Sales Order Item,2023-10-12T00:00:00+00:00,CUSTOMER--10#None,MAT-80#None,MAT-80_Plant2#None,Plant2#None,,SO_ITEM--96-3#None,,0.0,0.0
e1230,Create Sales Order Item,2023-10-12T00:00:00+00:00,CUSTOMER--10#None,MAT-94#None,MAT-94_Plant3#None,Plant3#None,,SO_ITEM--96-1#None,,0.0,0.0
e198,Create Sales Order Item,2023-10-13T00:00:00+00:00,CUSTOMER--7#None,MAT-16#None,MAT-16_Plant5#None,Plant5#None,,SO_ITEM--27-1#None,,0.0,0.0
e1,Create Sales Order Item,2023-10-15T00:00:00+00:00,CUSTOMER--17#None,MAT-1#None,MAT-1_Plant2#None,Plant2#None,,SO_ITEM--72-4#None,,0.0,0.0
e627,Create Purchase Order Item,2023-10-15T00:00:00+00:00,,MAT-49#None,MAT-49_Plant5#None,Plant5#None,PO_ITEM--80-1#None,,SUPPLIER--16#None,36.0,36.0
e967,Goods Receipt,2023-10-16T00:00:00+00:00,,MAT-73#None,MAT-73_Plant2#None,Plant2#None,PO_ITEM--66-5#None,,SUPPLIER--27#None,86.0,112.0
e1075,Create Sales Order Item,2023-10-16T00:00:00+00:00,CUSTOMER--24#None,MAT-81#None,MAT-81_Plant3#None,Plant3#None,,SO_ITEM--144-2#None,,89.0,89.0
e163,Create Sales Order Item,2023-10-17T00:00:00+00:00,CUSTOMER--5#None,MAT-14#None,MAT-14_Plant1#None,Plant1#None,,SO_ITEM--194-1#None,,106.0,106.0
e356,Create Sales Order Item,2023-10-19T00:00:00+00:00,CUSTOMER--31#None,MAT-29#None,MAT-29_Plant1#None,Plant1#None,,SO_ITEM--12-3#None,,0.0,0.0
e1014,Create Sales Order Item,2023-10-19T00:00:00+00:00,CUSTOMER--31#None,MAT-76#None,MAT-76_Plant2#None,Plant2#None,,SO_ITEM--12-2#None,,0.0,0.0
e1035,Create Sales Order Item,2023-10-19T00:00:00+00:00,CUSTOMER--10#None,MAT-78#None,MAT-78_Plant3#None,Plant3#None,,SO_ITEM--153-1#None,,50.0,50.0
e1200,Create Sales Order Item,2023-10-19T00:00:00+00:00,CUSTOMER--31#None,MAT-91#None,MAT-91_Plant5#None,Plant5#None,,SO_ITEM--12-5#None,,67.0,67.0
e263,Create Sales Order Item,2023-10-21T00:00:00+00:00,CUSTOMER--41#None,MAT-22#None,MAT-22_Plant4#None,Plant4#None,,SO_ITEM--23-2#None,,0.0,0.0
e330,Create Sales Order Item,2023-10-21T00:00:00+00:00,CUSTOMER--41#None,MAT-27#None,MAT-27_Plant2#None,Plant2#None,,SO_ITEM--23-1#None,,0.0,0.0
e762,Create Purchase Order Item,2023-10-21T00:00:00+00:00,,MAT-58#None,MAT-58_Plant2#None,Plant2#None,PO_ITEM--149-1#None,,SUPPLIER--10#None,58.0,58.0
e899,Create Sales Order Item,2023-10-21T00:00:00+00:00,CUSTOMER--41#None,MAT-68#None,MAT-68_Plant3#None,Plant3#None,,SO_ITEM--23-3#None,,0.0,0.0
e1168,Goods Issue,2023-10-21T00:00:00+00:00,CUSTOMER--949206#None,MAT-89#None,MAT-89_Plant5#None,Plant5#None,,,,87.0,40.0
e229,Create Sales Order Item,2023-10-23T00:00:00+00:00,CUSTOMER--34#None,MAT-19#None,MAT-19_Plant5#None,Plant5#None,,SO_ITEM--38-1#None,,0.0,0.0
e628,Create Sales Order Item,2023-10-23T00:00:00+00:00,CUSTOMER--49#None,MAT-49#None,MAT-49_Plant1#None,Plant1#None,,SO_ITEM--88-3#None,,0.0,0.0
e900,Create Sales Order Item,2023-10-23T00:00:00+00:00,CUSTOMER--49#None,MAT-68#None,MAT-68_Plant1#None,Plant1#None,,SO_ITEM--88-2#None,,0.0,0.0
e1148,Create Sales Order Item,2023-10-23T00:00:00+00:00,CUSTOMER--34#None,MAT-87#None,MAT-87_Plant5#None,Plant5#None,,SO_ITEM--38-2#None,,0.0,0.0
e1169,Create Sales Order Item,2023-10-23T00:00:00+00:00,CUSTOMER--49#None,MAT-89#None,MAT-89_Plant2#None,Plant2#None,,SO_ITEM--88-4#None,,40.0,40.0
e241,Create Sales Order Item,2023-10-25T00:00:00+00:00,CUSTOMER--39#None,MAT-20#None,MAT-20_Plant5#None,Plant5#None,,SO_ITEM--30-2#None,,0.0,0.0
e588,Goods Receipt,2023-10-25T00:00:00+00:00,,MAT-47#None,MAT-47_Plant3#None,Plant3#None,PO_ITEM--50-4#None,,SUPPLIER--29#None,86.0,89.0
e124,Create Sales Order Item,2023-10-26T00:00:00+00:00,CUSTOMER--49#None,MAT-11#None,MAT-11_Plant4#None,Plant4#None,,SO_ITEM--129-1#None,,0.0,0.0
e242,Create Purchase Suggestion Item,2023-10-26T00:00:00+00:00,,MAT-20#None,MAT-20_Plant4#None,Plant4#None,,,,0.0,0.0
e565,Create Sales Order Item,2023-10-26T00:00:00+00:00,CUSTOMER--3#None,MAT-45#None,MAT-45_Plant5#None,Plant5#None,,SO_ITEM--158-1#None,,0.0,0.0
e612,Goods Issue,2023-10-26T00:00:00+00:00,CUSTOMER--706744#None,MAT-48#None,MAT-48_Plant1#None,Plant1#None,,,,28.0,0.0
e181,Create Sales Order Item,2023-10-27T00:00:00+00:00,CUSTOMER--49#None,MAT-15#None,MAT-15_Plant2#None,Plant2#None,,SO_ITEM--2-1#None,,0.0,0.0
e182,Create Sales Order Item,2023-10-27T00:00:00+00:00,CUSTOMER--49#None,MAT-15#None,MAT-15_Plant5#None,Plant5#None,,SO_ITEM--2-2#None,,0.0,0.0
e629,Create Purchase Suggestion Item,2023-10-27T00:00:00+00:00,,MAT-49#None,MAT-49_Plant2#None,Plant2#None,,,,65.0,65.0
e630,Create Sales Order Item,2023-10-27T00:00:00+00:00,CUSTOMER--16#None,MAT-49#None,MAT-49_Plant3#None,Plant3#None,,SO_ITEM--59-5#None,,65.0,65.0
e944,Create Sales Order Item,2023-10-27T00:00:00+00:00,CUSTOMER--49#None,MAT-71#None,MAT-71_Plant3#None,Plant3#None,,SO_ITEM--2-3#None,,0.0,0.0
e999,Goods Issue,2023-10-27T00:00:00+00:00,CUSTOMER--925830#None,MAT-75#None,MAT-75_Plant2#None,Plant2#None,,,,45.0,0.0
e1015,Create Sales Order Item,2023-10-27T00:00:00+00:00,CUSTOMER--16#None,MAT-76#None,MAT-76_Plant1#None,Plant1#None,,SO_ITEM--59-2#None,,0.0,0.0
e477,Goods Receipt,2023-10-28T00:00:00+00:00,,MAT-38#None,MAT-38_Plant5#None,Plant5#None,PO_ITEM--74-2#None,,SUPPLIER--2#None,0.0,61.0
e331,Create Purchase Suggestion Item,2023-10-31T00:00:00+00:00,,MAT-27#None,MAT-27_Plant3#None,Plant3#None,,,,41.0,41.0
e663,Goods Issue,2023-10-31T00:00:00+00:00,CUSTOMER--790421#None,MAT-51#None,MAT-51_Plant2#None,Plant2#None,,,,75.0,0.0
e707,Create Sales Order Item,2023-10-31T00:00:00+00:00,CUSTOMER--14#None,MAT-54#None,MAT-54_Plant1#None,Plant1#None,,SO_ITEM--138-1#None,,0.0,0.0
e589,Create Sales Order Item,2023-11-01T00:00:00+00:00,CUSTOMER--6#None,MAT-47#None,MAT-47_Plant3#None,Plant3#None,,SO_ITEM--15-1#None,,89.0,89.0
e968,Create Sales Order Item,2023-11-01T00:00:00+00:00,CUSTOMER--6#None,MAT-73#None,MAT-73_Plant2#None,Plant2#None,,SO_ITEM--15-2#None,,112.0,112.0
e969,Create Sales Order Item,2023-11-02T00:00:00+00:00,CUSTOMER--12#None,MAT-73#None,MAT-73_Plant3#None,Plant3#None,,SO_ITEM--190-1#None,,61.0,61.0
e381,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-31#None,MAT-31_Plant5#None,Plant5#None,PO_ITEM--48-4#None,,SUPPLIER--1#None,0.0,0.0
e433,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-35#None,MAT-35_Plant2#None,Plant2#None,PO_ITEM--113-1#None,,SUPPLIER--22#None,0.0,0.0
e522,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-42#None,MAT-42_Plant3#None,Plant3#None,PO_ITEM--48-5#None,,SUPPLIER--1#None,36.0,36.0
e590,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-47#None,MAT-47_Plant3#None,Plant3#None,PO_ITEM--48-2#None,,SUPPLIER--1#None,89.0,89.0
e763,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-58#None,MAT-58_Plant2#None,Plant2#None,PO_ITEM--48-1#None,,SUPPLIER--1#None,58.0,58.0
e785,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-60#None,MAT-60_Plant2#None,Plant2#None,PO_ITEM--44-1#None,,SUPPLIER--11#None,129.0,129.0
e841,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-64#None,MAT-64_Plant5#None,Plant5#None,PO_ITEM--48-3#None,,SUPPLIER--1#None,0.0,0.0
e883,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-67#None,MAT-67_Plant1#None,Plant1#None,PO_ITEM--44-5#None,,SUPPLIER--11#None,20.0,20.0
e1016,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-76#None,MAT-76_Plant3#None,Plant3#None,PO_ITEM--44-2#None,,SUPPLIER--11#None,0.0,0.0
e1170,Create Purchase Order Item,2023-11-05T00:00:00+00:00,,MAT-89#None,MAT-89_Plant1#None,Plant1#None,PO_ITEM--44-3#None,,SUPPLIER--11#None,40.0,40.0
e2,Create Purchase Order Item,2023-11-06T00:00:00+00:00,,MAT-1#None,MAT-1_Plant2#None,Plant2#None,PO_ITEM--130-3#None,,SUPPLIER--26#None,0.0,0.0
e149,Create Sales Order Item,2023-11-06T00:00:00+00:00,CUSTOMER--8#None,MAT-13#None,MAT-13_Plant3#None,Plant3#None,,SO_ITEM--118-2#None,,0.0,0.0
e183,Create Purchase Order Item,2023-11-06T00:00:00+00:00,,MAT-15#None,MAT-15_Plant4#None,Plant4#None,PO_ITEM--130-4#None,,SUPPLIER--26#None,0.0,0.0
e382,Create Purchase Order Item,2023-11-06T00:00:00+00:00,,MAT-31#None,MAT-31_Plant2#None,Plant2#None,PO_ITEM--130-1#None,,SUPPLIER--26#None,39.0,39.0
e460,Create Purchase Order Item,2023-11-06T00:00:00+00:00,,MAT-37#None,MAT-37_Plant1#None,Plant1#None,PO_ITEM--121-2#None,,SUPPLIER--16#None,39.0,39.0
e689,Create Purchase Order Item,2023-11-06T00:00:00+00:00,,MAT-53#None,MAT-53_Plant5#None,Plant5#None,PO_ITEM--130-2#None,,SUPPLIER--26#None,0.0,0.0
e807,Create Sales Order Item,2023-11-06T00:00:00+00:00,CUSTOMER--8#None,MAT-62#None,MAT-62_Plant1#None,Plant1#None,,SO_ITEM--118-1#None,,0.0,0.0
e901,Create Purchase Order Item,2023-11-06T00:00:00+00:00,,MAT-68#None,MAT-68_Plant1#None,Plant1#None,PO_ITEM--121-1#None,,SUPPLIER--16#None,0.0,0.0
e93,Create Purchase Order Item,2023-11-07T00:00:00+00:00,,MAT-9#None,MAT-9_Plant2#None,Plant2#None,PO_ITEM--45-4#None,,SUPPLIER--15#None,0.0,0.0
e125,Create Purchase Order Item,2023-11-07T00:00:00+00:00,,MAT-11#None,MAT-11_Plant2#None,Plant2#None,PO_ITEM--135-3#None,,SUPPLIER--6#None,0.0,0.0
e164,Create Purchase Order Item,2023-11-07T00:00:00+00:00,,MAT-14#None,MAT-14_Plant2#None,Plant2#None,PO_ITEM--135-4#None,,SUPPLIER--6#None,0.0,0.0
e184,Create Purchase Order Item,2023-11-07T00:00:00+00:00,,MAT-15#None,MAT-15_Plant1#None,Plant1#None,PO_ITEM--45-1#None,,SUPPLIER--15#None,0.0,0.0
e357,Create Purchase Order Item,2023-11-07T00:00:00+00:00,,MAT-29#None,MAT-29_Plant2#None,Plant2#None,PO_ITEM--135-2#None,,SUPPLIER--6#None,0.0,0.0
e797,Create Purchase Order Item,2023-11-07T00:00:00+00:00,,MAT-61#None,MAT-61_Plant5#None,Plant5#None,PO_ITEM--45-2#None,,SUPPLIER--15#None,0.0,0.0
e1187,Create Purchase Order Item,2023-11-07T00:00:00+00:00,,MAT-90#None,MAT-90_Plant1#None,Plant1#None,PO_ITEM--45-3#None,,SUPPLIER--15#None,0.0,0.0
e1244,Create Purchase Order Item,2023-11-07T00:00:00+00:00,,MAT-95#None,MAT-95_Plant4#None,Plant4#None,PO_ITEM--135-5#None,,SUPPLIER--6#None,0.0,0.0
e434,Create Sales Order Item,2023-11-08T00:00:00+00:00,CUSTOMER--21#None,MAT-35#None,MAT-35_Plant1#None,Plant1#None,,SO_ITEM--105-1#None,,0.0,0.0
e725,Create Sales Order Item,2023-11-08T00:00:00+00:00,CUSTOMER--21#None,MAT-55#None,MAT-55_Plant5#None,Plant5#None,,SO_ITEM--105-2#None,,0.0,0.0
e550,Goods Issue,2023-11-09T00:00:00+00:00,CUSTOMER--779187#None,MAT-44#None,MAT-44_Plant2#None,Plant2#None,,,,71.0,0.0
e902,Create Purchase Order Item,2023-11-09T00:00:00+00:00,,MAT-68#None,MAT-68_Plant2#None,Plant2#None,PO_ITEM--21-2#None,,SUPPLIER--13#None,0.0,0.0
e970,Goods Receipt,2023-11-09T00:00:00+00:00,,MAT-73#None,MAT-73_Plant5#None,Plant5#None,PO_ITEM--66-5#None,,SUPPLIER--27#None,112.0,130.0
e126,Goods Receipt,2023-11-10T00:00:00+00:00,,MAT-11#None,MAT-11_Plant5#None,Plant5#None,PO_ITEM--137-1#None,,SUPPLIER--18#None,33.0,79.0
e955,Create Sales Order Item,2023-11-10T00:00:00+00:00,CUSTOMER--36#None,MAT-72#None,MAT-72_Plant3#None,Plant3#None,,SO_ITEM--150-1#None,,0.0,0.0
e690,Create Purchase Suggestion Item,2023-11-13T00:00:00+00:00,,MAT-53#None,MAT-53_Plant3#None,Plant3#None,,,,44.0,44.0
e777,Goods Receipt,2023-11-13T00:00:00+00:00,,MAT-59#None,MAT-59_Plant2#None,Plant2#None,PO_ITEM--4-5#None,,SUPPLIER--17#None,0.0,98.0
e420,Create Sales Order Item,2023-11-14T00:00:00+00:00,CUSTOMER--15#None,MAT-34#None,MAT-34_Plant4#None,Plant4#None,,SO_ITEM--111-1#None,,69.0,69.0
e491,Create Sales Order Item,2023-11-14T00:00:00+00:00,CUSTOMER--15#None,MAT-39#None,MAT-39_Plant4#None,Plant4#None,,SO_ITEM--111-2#None,,73.0,73.0
e798,Create Sales Order Item,2023-11-14T00:00:00+00:00,CUSTOMER--15#None,MAT-61#None,MAT-61_Plant3#None,Plant3#None,,SO_ITEM--111-3#None,,0.0,0.0
e15,Create Purchase Order Item,2023-11-16T00:00:00+00:00,,MAT-2#None,MAT-2_Plant3#None,Plant3#None,PO_ITEM--83-2#None,,SUPPLIER--12#None,0.0,0.0
e492,Create Sales Order Item,2023-11-16T00:00:00+00:00,CUSTOMER--14#None,MAT-39#None,MAT-39_Plant3#None,Plant3#None,,SO_ITEM--188-1#None,,0.0,0.0
e591,Create Purchase Order Item,2023-11-16T00:00:00+00:00,,MAT-47#None,MAT-47_Plant5#None,Plant5#None,PO_ITEM--83-1#None,,SUPPLIER--12#None,89.0,89.0
e842,Goods Receipt,2023-11-18T00:00:00+00:00,,MAT-64#None,MAT-64_Plant3#None,Plant3#None,PO_ITEM--44-2#None,,SUPPLIER--11#None,0.0,100.0
e332,Create Purchase Order Item,2023-11-19T00:00:00+00:00,,MAT-27#None,MAT-27_Plant4#None,Plant4#None,PO_ITEM--12-1#None,,SUPPLIER--20#None,41.0,41.0
e461,Create Purchase Order Item,2023-11-19T00:00:00+00:00,,MAT-37#None,MAT-37_Plant5#None,Plant5#None,PO_ITEM--12-5#None,,SUPPLIER--20#None,39.0,39.0
e808,Create Purchase Order Item,2023-11-19T00:00:00+00:00,,MAT-62#None,MAT-62_Plant1#None,Plant1#None,PO_ITEM--12-4#None,,SUPPLIER--20#None,0.0,0.0
e913,Goods Issue,2023-11-19T00:00:00+00:00,CUSTOMER--133496#None,MAT-69#None,MAT-69_Plant5#None,Plant5#None,,,,109.0,48.0
e1149,Create Purchase Suggestion Item,2023-11-19T00:00:00+00:00,,MAT-87#None,MAT-87_Plant3#None,Plant3#None,,,,0.0,0.0
e592,Create Purchase Suggestion Item,2023-11-21T00:00:00+00:00,,MAT-47#None,MAT-47_Plant5#None,Plant5#None,,,,89.0,89.0
e664,Goods Receipt,2023-11-21T00:00:00+00:00,,MAT-51#None,MAT-51_Plant4#None,Plant4#None,PO_ITEM--145-3#None,,SUPPLIER--9#None,0.0,25.0
e211,Goods Issue,2023-11-22T00:00:00+00:00,CUSTOMER--941633#None,MAT-18#None,MAT-18_Plant1#None,Plant1#None,,,,22.0,5.0
e150,Create Purchase Order Item,2023-11-23T00:00:00+00:00,,MAT-13#None,MAT-13_Plant1#None,Plant1#None,PO_ITEM--138-4#None,,SUPPLIER--29#None,0.0,0.0
e315,Create Purchase Order Item,2023-11-23T00:00:00+00:00,,MAT-26#None,MAT-26_Plant4#None,Plant4#None,PO_ITEM--138-3#None,,SUPPLIER--29#None,117.0,117.0
e593,Create Purchase Order Item,2023-11-23T00:00:00+00:00,,MAT-47#None,MAT-47_Plant4#None,Plant4#None,PO_ITEM--138-2#None,,SUPPLIER--29#None,89.0,89.0
e1122,Create Purchase Order Item,2023-11-23T00:00:00+00:00,,MAT-85#None,MAT-85_Plant2#None,Plant2#None,PO_ITEM--138-1#None,,SUPPLIER--29#None,0.0,0.0
e478,Goods Receipt,2023-11-24T00:00:00+00:00,,MAT-38#None,MAT-38_Plant5#None,Plant5#None,PO_ITEM--9-2#None,,SUPPLIER--27#None,61.0,77.0
e914,Goods Issue,2023-11-24T00:00:00+00:00,CUSTOMER--614849#None,MAT-69#None,MAT-69_Plant5#None,Plant5#None,,,,48.0,0.0
e1086,Goods Issue,2023-11-24T00:00:00+00:00,CUSTOMER--959683#None,MAT-82#None,MAT-82_Plant5#None,Plant5#None,,,,51.0,0.0
e1104,Goods Receipt,2023-11-24T00:00:00+00:00,,MAT-83#None,MAT-83_Plant2#None,Plant2#None,PO_ITEM--44-4#None,,SUPPLIER--11#None,0.0,38.0
e1123,Create Purchase Order Item,2023-11-24T00:00:00+00:00,,MAT-85#None,MAT-85_Plant5#None,Plant5#None,PO_ITEM--110-2#None,,SUPPLIER--25#None,2.0,2.0
e1304,Create Purchase Order Item,2023-11-24T00:00:00+00:00,,MAT-100#None,MAT-100_Plant5#None,Plant5#None,PO_ITEM--110-1#None,,SUPPLIER--25#None,0.0,0.0
e94,Goods Receipt,2023-11-25T00:00:00+00:00,,MAT-9#None,MAT-9_Plant2#None,Plant2#None,PO_ITEM--11-5#None,,SUPPLIER--24#None,0.0,88.0
e185,Create Purchase Suggestion Item,2023-11-25T00:00:00+00:00,,MAT-15#None,MAT-15_Plant3#None,Plant3#None,,,,0.0,0.0
e316,Create Purchase Order Item,2023-11-26T00:00:00+00:00,,MAT-26#None,MAT-26_Plant4#None,Plant4#None,PO_ITEM--34-3#None,,SUPPLIER--6#None,117.0,117.0
e513,Create Purchase Order Item,2023-11-26T00:00:00+00:00,,MAT-41#None,MAT-41_Plant3#None,Plant3#None,PO_ITEM--34-2#None,,SUPPLIER--6#None,57.0,57.0
e1017,Create Purchase Order Item,2023-11-26T00:00:00+00:00,,MAT-76#None,MAT-76_Plant4#None,Plant4#None,PO_ITEM--34-4#None,,SUPPLIER--6#None,0.0,0.0
e1105,Create Sales Order Item,2023-11-27T00:00:00+00:00,CUSTOMER--38#None,MAT-83#None,MAT-83_Plant3#None,Plant3#None,,SO_ITEM--199-1#None,,38.0,38.0
e1188,Create Sales Order Item,2023-11-27T00:00:00+00:00,CUSTOMER--38#None,MAT-90#None,MAT-90_Plant5#None,Plant5#None,,SO_ITEM--199-2#None,,0.0,0.0
e333,Create Purchase Order Item,2023-11-28T00:00:00+00:00,,MAT-27#None,MAT-27_Plant3#None,Plant3#None,PO_ITEM--134-1#None,,SUPPLIER--21#None,41.0,41.0
e504,Create Sales Order Item,2023-11-28T00:00:00+00:00,CUSTOMER--41#None,MAT-40#None,MAT-40_Plant1#None,Plant1#None,,SO_ITEM--116-3#None,,0.0,0.0
e708,Create Purchase Order Item,2023-11-28T00:00:00+00:00,,MAT-54#None,MAT-54_Plant1#None,Plant1#None,PO_ITEM--134-4#None,,SUPPLIER--21#None,0.0,0.0
e1076,Create Purchase Order Item,2023-11-28T00:00:00+00:00,,MAT-81#None,MAT-81_Plant3#None,Plant3#None,PO_ITEM--134-3#None,,SUPPLIER--21#None,89.0,89.0
e1150,Create Purchase Order Item,2023-11-28T00:00:00+00:00,,MAT-87#None,MAT-87_Plant5#None,Plant5#None,PO_ITEM--134-2#None,,SUPPLIER--21#None,0.0,0.0
e65,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-7#None,MAT-7_Plant4#None,Plant4#None,PO_ITEM--75-2#None,,SUPPLIER--30#None,0.0,0.0
e435,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-35#None,MAT-35_Plant5#None,Plant5#None,PO_ITEM--50-1#None,,SUPPLIER--29#None,0.0,0.0
e566,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-45#None,MAT-45_Plant1#None,Plant1#None,PO_ITEM--50-2#None,,SUPPLIER--29#None,0.0,0.0
e676,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-52#None,MAT-52_Plant1#None,Plant1#None,PO_ITEM--75-3#None,,SUPPLIER--30#None,0.0,0.0
e709,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-54#None,MAT-54_Plant5#None,Plant5#None,PO_ITEM--50-4#None,,SUPPLIER--29#None,0.0,0.0
e1018,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-76#None,MAT-76_Plant5#None,Plant5#None,PO_ITEM--75-4#None,,SUPPLIER--30#None,0.0,0.0
e1019,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-76#None,MAT-76_Plant5#None,Plant5#None,PO_ITEM--75-5#None,,SUPPLIER--30#None,0.0,0.0
e1124,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-85#None,MAT-85_Plant4#None,Plant4#None,PO_ITEM--50-5#None,,SUPPLIER--29#None,2.0,2.0
e1207,Create Purchase Order Item,2023-11-29T00:00:00+00:00,,MAT-92#None,MAT-92_Plant4#None,Plant4#None,PO_ITEM--75-1#None,,SUPPLIER--30#None,0.0,0.0
